表格名稱,欄位序號,欄位名稱,啟用最低需求版本,型別,PK,UQ,NN,FK,來源表格,預設值,欄位說明
nx02_stock_ledger,1,id,LITE,VARCHAR(15),TRUE,TRUE,TRUE,FALSE,,GEN,[NX00]+[STLE]+[7碼流水號]，EX : NX00STLE0000001
nx02_stock_ledger,2,tenant_id,LITE,VARCHAR(15),FALSE,FALSE,TRUE,TRUE,nx99_tenant,,租戶 ID（外鍵）
nx02_stock_ledger,3,movement_date,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,NOW,異動時間
nx02_stock_ledger,4,part_id,LITE,VARCHAR(15),FALSE,FALSE,TRUE,TRUE,nx00_part,,零件 ID
nx02_stock_ledger,5,warehouse_id,LITE,VARCHAR(15),FALSE,FALSE,TRUE,TRUE,nx00_warehouse,,倉庫 ID
nx02_stock_ledger,6,location_id,LITE,VARCHAR(15),FALSE,FALSE,TRUE,TRUE,nx00_location,,庫位 ID
nx02_stock_ledger,7,movement_type,LITE,VARCHAR(1),FALSE,FALSE,TRUE,FALSE,,,"異動類型。( I=IN, O=OUT, A=ADJUST )"
nx02_stock_ledger,8,qty_in,LITE,"DECIMAL(14,4)",FALSE,FALSE,TRUE,FALSE,,0,入庫數量
nx02_stock_ledger,9,qty_out,LITE,"DECIMAL(14,4)",FALSE,FALSE,TRUE,FALSE,,0,出庫數量
nx02_stock_ledger,10,unit_cost,LITE,"DECIMAL(14,4)",FALSE,FALSE,TRUE,FALSE,,0,異動單位成本
nx02_stock_ledger,11,total_cost,LITE,"DECIMAL(14,2)",FALSE,FALSE,TRUE,FALSE,,0,異動總成本（qty差 * unit_cost）
nx02_stock_ledger,12,balance_qty,LITE,"DECIMAL(14,4)",FALSE,FALSE,TRUE,FALSE,,0,異動後庫存數量（可選擇存或即時計算）
nx02_stock_ledger,13,balance_cost,LITE,"DECIMAL(14,4)",FALSE,FALSE,TRUE,FALSE,,0,異動後平均成本（移動平均）
nx02_stock_ledger,14,source_module,LITE,VARCHAR(10),FALSE,FALSE,TRUE,FALSE,,,來源模組：NX01/NX03/NX02
